0;ivm1;
0;ivm2;
0;ivm3;
2;ivm4;
2;ivm5;
0;ivm6;
5;ivm7;
0;ivm8;
1;ivm9;
2;ivm10;
1;ivm11;
0;ivm12;
3;ivm13;
1;ivm14;
0;ivm15;
0;ivm16;
0;ivm17;
0;ivm18;
3;ivm19;
2;ivm20;
1;ivm21;
1;ivm22;
0;ivm23;
0;ivm24;
0;ivm25;
0;ivm26;
1;ivm27;
0;ivm28;
0;ivm29;
0;ivm30;
0;ivm31;
0;ivm32;
0;ivm33;
0;ivm34;
0;ivm35;
0;ivm36;
4;ivm37;
0;ivm38;
1;ivm39;
0;ivm40;
0;ivm41;
1;ivm42;
0;ivm43;
0;ivm44;
0;ivm45;
1;ivm46;
0;ivm47;
0;ivm48;
0;ivm49;
0;ivm50;
1;ivm51;
3;ivm52;
0;ivm53;
0;ivm54;
0;ivm55;
0;ivm56;
0;ivm57;
4;ivm58;
0;ivm59;
0;ivm60;
0;ivm61;
2;ivm62;
0;ivm63;
0;ivm64;
0;ivm65;
1;ivm66;
0;ivm67;
0;ivm68;
0;ivm69;
0;ivm70;
0;ivm71;
1;ivm72;
0;ivm73;
2;ivm74;
3;ivm75;
0;ivm76;
0;ivm77;
0;ivm78;
1;ivm79;
1;ivm80;
0;ivm81;
0;ivm82;
0;ivm83;
0;ivm84;
0;ivm85;
0;ivm86;
0;ivm87;
0;ivm88;
1;ivm89;
0;ivm90;
4;ivm91;
0;ivm92;
0;ivm93;
3;ivm94;
0;ivm95;
0;ivm96;
0;ivm97;
0;ivm98;
0;ivm99;
2;ivm100;
0;ivm101;
0;ivm102;
0;ivm103;
0;ivm104;
0;ivm105;
0;ivm106;
0;ivm107;
0;ivm108;
0;ivm109;
0;ivm110;
0;ivm111;
5;ivm112;
4;ivm113;
7;ivm114;
0;ivm115;
0;ivm116;
0;ivm117;
0;ivm118;
8;ivm119;
1;ivm120;
0;ivm121;
0;ivm122;
0;ivm123;
0;ivm124;
0;ivm125;
3;ivm126;
0;ivm127;
0;ivm128;
0;ivm129;
0;ivm130;
0;ivm131;
6;ivm132;
0;ivm133;
0;ivm134;
0;ivm135;
1;ivm136;
0;ivm137;
0;ivm138;
0;ivm139;
0;ivm140;
2;ivm141;
1;ivm142;
0;ivm143;
0;ivm144;
4;ivm145;
0;ivm146;
1;ivm147;
0;ivm148;
3;ivm149;
2;ivm150;
0;ivm151;
0;ivm152;
0;ivm153;
0;ivm154;
2;ivm155;
1;ivm156;
1;ivm157;
1;ivm158;
0;ivm159;
2;ivm160;
2;ivm161;
0;ivm162;
0;ivm163;
0;ivm164;
0;ivm165;
0;ivm166;
0;ivm167;
5;ivm168;
0;ivm169;
0;ivm170;
2;ivm171;
1;ivm172;
3;ivm173;
0;ivm174;
0;ivm175;
1;ivm176;
0;ivm177;
0;ivm178;
0;ivm179;
4;ivm180;
3;ivm181;
2;ivm182;
1;ivm183;
2;ivm184;
2;ivm185;
0;ivm186;
0;ivm187;
0;ivm188;
1;ivm189;
0;ivm190;
0;ivm191;
0;ivm192;
0;ivm193;
2;ivm194;
0;ivm195;
0;ivm196;
0;ivm197;
2;ivm198;
4;ivm199;
0;ivm200;
0;ivm201;
0;ivm202;
3;ivm203;
0;ivm204;
0;ivm205;
0;ivm206;
0;ivm207;
0;ivm208;
1;ivm209;
3;ivm210;
2;ivm211;
0;ivm212;
1;ivm213;
1;ivm214;
0;ivm215;
0;ivm216;
1;ivm217;
0;ivm218;
3;ivm219;
2;ivm220;
3;ivm221;
0;ivm222;
0;ivm223;
0;ivm224;
2;ivm225;
2;ivm226;
7;ivm227;
2;ivm228;
6;ivm229;
2;ivm230;
0;ivm231;
0;ivm232;
1;ivm233;
5;ivm234;
0;ivm235;
2;ivm236;
1;ivm237;
1;ivm238;
4;ivm239;
2;ivm240;
0;ivm241;
0;ivm242;
3;ivm243;
2;ivm244;
0;ivm245;
0;ivm246;
0;ivm247;
0;ivm248;
0;ivm249;
0;ivm250;
0;ivm251;
0;ivm252;
0;ivm253;
0;ivm254;
0;ivm255;
0;ivm256;
0;ivm257;
0;ivm258;
0;ivm259;
0;ivm260;
0;ivm261;
0;ivm262;
1;ivm263;
0;ivm264;
1;ivm265;
2;ivm266;
0;ivm267;
0;ivm268;
0;ivm269;
0;ivm270;
2;ivm271;
1;ivm272;
1;ivm273;
1;ivm274;
1;ivm275;
0;ivm276;
0;ivm277;
4;ivm278;
2;ivm279;
0;ivm280;
0;ivm281;
3;ivm282;
1;ivm283;
0;ivm284;
0;ivm285;
5;ivm286;
2;ivm287;
0;ivm288;
0;ivm289;
0;ivm290;
0;ivm291;
2;ivm292;
0;ivm293;
0;ivm294;
3;ivm295;
0;ivm296;
0;ivm297;
0;ivm298;
0;ivm299;
4;ivm300;
0;ivm301;
0;ivm302;
1;ivm303;
0;ivm304;
0;ivm305;
0;ivm306;
3;ivm307;
4;ivm308;
0;ivm309;
0;ivm310;
0;ivm311;
0;ivm312;
0;ivm313;
0;ivm314;
2;ivm315;
0;ivm316;
0;ivm317;
0;ivm318;
0;ivm319;
0;ivm320;
3;ivm321;
2;ivm322;
0;ivm323;
0;ivm324;
0;ivm325;
1;ivm326;
2;ivm327;
0;ivm328;
0;ivm329;
0;ivm330;
0;ivm331;
0;ivm332;
6;ivm333;
0;ivm334;
0;ivm335;
2;ivm336;
0;ivm337;
0;ivm338;
0;ivm339;
1;ivm340;
0;ivm341;
12;ivm342;
0;ivm343;
0;ivm344;
0;ivm345;
0;ivm346;
2;ivm347;
0;ivm348;
0;ivm349;
1;ivm350;
1;ivm351;
2;ivm352;
0;ivm353;
0;ivm354;
0;ivm355;
0;ivm356;
6;ivm357;
3;ivm358;
0;ivm359;
0;ivm360;
0;ivm361;
0;ivm362;
0;ivm363;
1;ivm364;
1;ivm365;
0;ivm366;
1;ivm367;
0;ivm368;
0;ivm369;
0;ivm370;
0;ivm371;
1;ivm372;
1;ivm373;
0;ivm374;
0;ivm375;
0;ivm376;
0;ivm377;
2;ivm378;
0;ivm379;
5;ivm380;
0;ivm381;
0;ivm382;
0;ivm383;
2;ivm384;
0;ivm385;
1;ivm386;
0;ivm387;
0;ivm388;
1;ivm389;
0;ivm390;
0;ivm391;
2;ivm392;
2;ivm393;
0;ivm394;
0;ivm395;
2;ivm396;
0;ivm397;
0;ivm398;
1;ivm399;
0;ivm400;
4;ivm401;
0;ivm402;
0;ivm403;
0;ivm404;
0;ivm405;
0;ivm406;
0;ivm407;
1;ivm408;
0;ivm409;
0;ivm410;
0;ivm411;
3;ivm412;
0;ivm413;
0;ivm414;
0;ivm415;
0;ivm416;
0;ivm417;
0;ivm418;
0;ivm419;
0;ivm420;
0;ivm421;
1;ivm422;
1;ivm423;
0;ivm424;
0;ivm425;
2;ivm426;
0;ivm427;
3;ivm428;
0;ivm429;
0;ivm430;
0;ivm431;
6;ivm432;
0;ivm433;
2;ivm434;
4;ivm435;
2;ivm436;
0;ivm437;
0;ivm438;
1;ivm439;
0;ivm440;
0;ivm441;
0;ivm442;
0;ivm443;
4;ivm444;
0;ivm445;
1;ivm446;
0;ivm447;
1;ivm448;
2;ivm449;
0;ivm450;
2;ivm451;
0;ivm452;
1;ivm453;
1;ivm454;
0;ivm455;
0;ivm456;
0;ivm457;
0;ivm458;
0;ivm459;
3;ivm460;
0;ivm461;
7;ivm462;
1;ivm463;
1;ivm464;
1;ivm465;
0;ivm466;
0;ivm467;
0;ivm468;
1;ivm469;
0;ivm470;
0;ivm471;
0;ivm472;
0;ivm473;
1;ivm474;
2;ivm475;
3;ivm476;
1;ivm477;
0;ivm478;
0;ivm479;
0;ivm480;
0;ivm481;
0;ivm482;
1;ivm483;
2;ivm484;
0;ivm485;
0;ivm486;
0;ivm487;
0;ivm488;
0;ivm489;
0;ivm490;
4;ivm491;
0;ivm492;
0;ivm493;
3;ivm494;
1;ivm495;
0;ivm496;
0;ivm497;
0;ivm498;
2;ivm499;
1;ivm500;
3;ivm501;
0;ivm502;
7;ivm503;
2;ivm504;
0;ivm505;
0;ivm506;
0;ivm507;
0;ivm508;
0;ivm509;
3;ivm510;
2;ivm511;
5;ivm512;
4;ivm513;
2;ivm514;
0;ivm515;
1;ivm516;
2;ivm517;
0;ivm518;
1;ivm519;
1;ivm520;
0;ivm521;
0;ivm522;
2;ivm523;
0;ivm524;
